condition,c o n d i t i o n,"Input: condition Answer: c o n d i t i o n
"
thing,t h i n g,"Input: thing Answer: t h i n g
"
color,c o l o r,"Input: color Answer: c o l o r
"
intensity,i n t e n s i t y,"Input: intensity Answer: i n t e n s i t y
"
street,s t r e e t,"Input: street Answer: s t r e e t
"
session,s e s s i o n,"Input: session Answer: s e s s i o n
"
wave,w a v e,"Input: wave Answer: w a v e
"
piano,p i a n o,"Input: piano Answer: p i a n o
"
criticism,c r i t i c i s m,"Input: criticism Answer: c r i t i c i s m
"
planet,p l a n e t,"Input: planet Answer: p l a n e t
"
reign,r e i g n,"Input: reign Answer: r e i g n
"
murder,m u r d e r,"Input: murder Answer: m u r d e r
"
selection,s e l e c t i o n,"Input: selection Answer: s e l e c t i o n
"
computer,c o m p u t e r,"Input: computer Answer: c o m p u t e r
"
council,c o u n c i l,"Input: council Answer: c o u n c i l
"
comic,c o m i c,"Input: comic Answer: c o m i c
"
peace,p e a c e,"Input: peace Answer: p e a c e
"
opportunity,o p p o r t u n i t y,"Input: opportunity Answer: o p p o r t u n i t y
"
question,q u e s t i o n,"Input: question Answer: q u e s t i o n
"
analysis,a n a l y s i s,"Input: analysis Answer: a n a l y s i s
"
shooting,s h o o t i n g,"Input: shooting Answer: s h o o t i n g
"
display,d i s p l a y,"Input: display Answer: d i s p l a y
"
deck,d e c k,"Input: deck Answer: d e c k
"
advantage,a d v a n t a g e,"Input: advantage Answer: a d v a n t a g e
"
conference,c o n f e r e n c e,"Input: conference Answer: c o n f e r e n c e
"
fan,f a n,"Input: fan Answer: f a n
"
prison,p r i s o n,"Input: prison Answer: p r i s o n
"
host,h o s t,"Input: host Answer: h o s t
"
volume,v o l u m e,"Input: volume Answer: v o l u m e
"
protection,p r o t e c t i o n,"Input: protection Answer: p r o t e c t i o n
"
target,t a r g e t,"Input: target Answer: t a r g e t
"
expedition,e x p e d i t i o n,"Input: expedition Answer: e x p e d i t i o n
"
publication,p u b l i c a t i o n,"Input: publication Answer: p u b l i c a t i o n
"
temperature,t e m p e r a t u r e,"Input: temperature Answer: t e m p e r a t u r e
"
economy,e c o n o m y,"Input: economy Answer: e c o n o m y
"
brief,b r i e f,"Input: brief Answer: b r i e f
"
edge,e d g e,"Input: edge Answer: e d g e
"
intersection,i n t e r s e c t i o n,"Input: intersection Answer: i n t e r s e c t i o n
"
motion,m o t i o n,"Input: motion Answer: m o t i o n
"
chance,c h a n c e,"Input: chance Answer: c h a n c e
"
label,l a b e l,"Input: label Answer: l a b e l
"
gain,g a i n,"Input: gain Answer: g a i n
"
element,e l e m e n t,"Input: element Answer: e l e m e n t
"
rear,r e a r,"Input: rear Answer: r e a r
"
literature,l i t e r a t u r e,"Input: literature Answer: l i t e r a t u r e
"
strike,s t r i k e,"Input: strike Answer: s t r i k e
"
technology,t e c h n o l o g y,"Input: technology Answer: t e c h n o l o g y
"
adult,a d u l t,"Input: adult Answer: a d u l t
"
anything,a n y t h i n g,"Input: anything Answer: a n y t h i n g
"
gameplay,g a m e p l a y,"Input: gameplay Answer: g a m e p l a y
"
resistance,r e s i s t a n c e,"Input: resistance Answer: r e s i s t a n c e
"
launch,l a u n c h,"Input: launch Answer: l a u n c h
"
storyline,s t o r y l i n e,"Input: storyline Answer: s t o r y l i n e
"
shape,s h a p e,"Input: shape Answer: s h a p e
"
sign,s i g n,"Input: sign Answer: s i g n
"
tax,t a x,"Input: tax Answer: t a x
"
agent,a g e n t,"Input: agent Answer: a g e n t
"
popularity,p o p u l a r i t y,"Input: popularity Answer: p o p u l a r i t y
"
reaction,r e a c t i o n,"Input: reaction Answer: r e a c t i o n
"
reputation,r e p u t a t i o n,"Input: reputation Answer: r e p u t a t i o n
"
estate,e s t a t e,"Input: estate Answer: e s t a t e
"
poem,p o e m,"Input: poem Answer: p o e m
"
southeast,s o u t h e a s t,"Input: southeast Answer: s o u t h e a s t
"
height,h e i g h t,"Input: height Answer: h e i g h t
"
alternative,a l t e r n a t i v e,"Input: alternative Answer: a l t e r n a t i v e
"
franchise,f r a n c h i s e,"Input: franchise Answer: f r a n c h i s e
"
opinion,o p i n i o n,"Input: opinion Answer: o p i n i o n
"
steel,s t e e l,"Input: steel Answer: s t e e l
"
planning,p l a n n i n g,"Input: planning Answer: p l a n n i n g
"
safety,s a f e t y,"Input: safety Answer: s a f e t y
"
existence,e x i s t e n c e,"Input: existence Answer: e x i s t e n c e
"
introduction,i n t r o d u c t i o n,"Input: introduction Answer: i n t r o d u c t i o n
"
promotion,p r o m o t i o n,"Input: promotion Answer: p r o m o t i o n
"
branch,b r a n c h,"Input: branch Answer: b r a n c h
"
product,p r o d u c t,"Input: product Answer: p r o d u c t
"
exchange,e x c h a n g e,"Input: exchange Answer: e x c h a n g e
"
defence,d e f e n c e,"Input: defence Answer: d e f e n c e
"
baseball,b a s e b a l l,"Input: baseball Answer: b a s e b a l l
"
platform,p l a t f o r m,"Input: platform Answer: p l a t f o r m
"
mouth,m o u t h,"Input: mouth Answer: m o u t h
"
request,r e q u e s t,"Input: request Answer: r e q u e s t
"
moment,m o m e n t,"Input: moment Answer: m o m e n t
"
freeway,f r e e w a y,"Input: freeway Answer: f r e e w a y
"
crowd,c r o w d,"Input: crowd Answer: c r o w d
"
settlement,s e t t l e m e n t,"Input: settlement Answer: s e t t l e m e n t
"
note,n o t e,"Input: note Answer: n o t e
"
method,m e t h o d,"Input: method Answer: m e t h o d
"
environment,e n v i r o n m e n t,"Input: environment Answer: e n v i r o n m e n t
"
iron,i r o n,"Input: iron Answer: i r o n
"
genre,g e n r e,"Input: genre Answer: g e n r e
"
composition,c o m p o s i t i o n,"Input: composition Answer: c o m p o s i t i o n
"
reserve,r e s e r v e,"Input: reserve Answer: r e s e r v e
"
knowledge,k n o w l e d g e,"Input: knowledge Answer: k n o w l e d g e
"
bank,b a n k,"Input: bank Answer: b a n k
"
statement,s t a t e m e n t,"Input: statement Answer: s t a t e m e n t
"
southwest,s o u t h w e s t,"Input: southwest Answer: s o u t h w e s t
"
rain,r a i n,"Input: rain Answer: r a i n
"
violence,v i o l e n c e,"Input: violence Answer: v i o l e n c e
"
function,f u n c t i o n,"Input: function Answer: f u n c t i o n
"
assault,a s s a u l t,"Input: assault Answer: a s s a u l t
"
battery,b a t t e r y,"Input: battery Answer: b a t t e r y
"
coal,c o a l,"Input: coal Answer: c o a l
"
candidate,c a n d i d a t e,"Input: candidate Answer: c a n d i d a t e
"
table,t a b l e,"Input: table Answer: t a b l e
"
distribution,d i s t r i b u t i o n,"Input: distribution Answer: d i s t r i b u t i o n
"
independence,i n d e p e n d e n c e,"Input: independence Answer: i n d e p e n d e n c e
"
contain,c o n t a i n,"Input: contain Answer: c o n t a i n
"
entrance,e n t r a n c e,"Input: entrance Answer: e n t r a n c e
"
combination,c o m b i n a t i o n,"Input: combination Answer: c o m b i n a t i o n
"
forest,f o r e s t,"Input: forest Answer: f o r e s t
"
stadium,s t a d i u m,"Input: stadium Answer: s t a d i u m
"
appeal,a p p e a l,"Input: appeal Answer: a p p e a l
"
campus,c a m p u s,"Input: campus Answer: c a m p u s
"
landfall,l a n d f a l l,"Input: landfall Answer: l a n d f a l l
"
cell,c e l l,"Input: cell Answer: c e l l
"
decade,d e c a d e,"Input: decade Answer: d e c a d e
"
boy,b o y,"Input: boy Answer: b o y
"
winner,w i n n e r,"Input: winner Answer: w i n n e r
"
evening,e v e n i n g,"Input: evening Answer: e v e n i n g
"
investigation,i n v e s t i g a t i o n,"Input: investigation Answer: i n v e s t i g a t i o n
"
message,m e s s a g e,"Input: message Answer: m e s s a g e
"
proposal,p r o p o s a l,"Input: proposal Answer: p r o p o s a l
"
trip,t r i p,"Input: trip Answer: t r i p
"
bit,b i t,"Input: bit Answer: b i t
"
duty,d u t y,"Input: duty Answer: d u t y
"
bomb,b o m b,"Input: bomb Answer: b o m b
"
phase,p h a s e,"Input: phase Answer: p h a s e
"
religion,r e l i g i o n,"Input: religion Answer: r e l i g i o n
"
hair,h a i r,"Input: hair Answer: h a i r
"
controversy,c o n t r o v e r s y,"Input: controversy Answer: c o n t r o v e r s y
"
hall,h a l l,"Input: hall Answer: h a l l
"
everything,e v e r y t h i n g,"Input: everything Answer: e v e r y t h i n g
"
breeding,b r e e d i n g,"Input: breeding Answer: b r e e d i n g
"
tail,t a i l,"Input: tail Answer: t a i l
"
importance,i m p o r t a n c e,"Input: importance Answer: i m p o r t a n c e
"
actress,a c t r e s s,"Input: actress Answer: a c t r e s s
"
bird,b i r d,"Input: bird Answer: b i r d
"
owner,o w n e r,"Input: owner Answer: o w n e r
"
steam,s t e a m,"Input: steam Answer: s t e a m
"
opera,o p e r a,"Input: opera Answer: o p e r a
"
nomination,n o m i n a t i o n,"Input: nomination Answer: n o m i n a t i o n
"
entry,e n t r y,"Input: entry Answer: e n t r y
"
crime,c r i m e,"Input: crime Answer: c r i m e
"
composer,c o m p o s e r,"Input: composer Answer: c o m p o s e r
"
transfer,t r a n s f e r,"Input: transfer Answer: t r a n s f e r
"
promote,p r o m o t e,"Input: promote Answer: p r o m o t e
"
price,p r i c e,"Input: price Answer: p r i c e
"
firm,f i r m,"Input: firm Answer: f i r m
"
extension,e x t e n s i o n,"Input: extension Answer: e x t e n s i o n
"
someone,s o m e o n e,"Input: someone Answer: s o m e o n e
"
roof,r o o f,"Input: roof Answer: r o o f
"
driving,d r i v i n g,"Input: driving Answer: d r i v i n g
"
identity,i d e n t i t y,"Input: identity Answer: i d e n t i t y
"
bottom,b o t t o m,"Input: bottom Answer: b o t t o m
"
zone,z o n e,"Input: zone Answer: z o n e
"
challenge,c h a l l e n g e,"Input: challenge Answer: c h a l l e n g e
"
lane,l a n e,"Input: lane Answer: l a n e
"
rail,r a i l,"Input: rail Answer: r a i l
"
noting,n o t i n g,"Input: noting Answer: n o t i n g
"
hotel,h o t e l,"Input: hotel Answer: h o t e l
"
relief,r e l i e f,"Input: relief Answer: r e l i e f
"
debate,d e b a t e,"Input: debate Answer: d e b a t e
"
depth,d e p t h,"Input: depth Answer: d e p t h
"
purchase,p u r c h a s e,"Input: purchase Answer: p u r c h a s e
"
departure,d e p a r t u r e,"Input: departure Answer: d e p a r t u r e
"
income,i n c o m e,"Input: income Answer: i n c o m e
"
decline,d e c l i n e,"Input: decline Answer: d e c l i n e
"
accident,a c c i d e n t,"Input: accident Answer: a c c i d e n t
"
recognition,r e c o g n i t i o n,"Input: recognition Answer: r e c o g n i t i o n
"
connection,c o n n e c t i o n,"Input: connection Answer: c o n n e c t i o n
"
mode,m o d e,"Input: mode Answer: m o d e
"
progress,p r o g r e s s,"Input: progress Answer: p r o g r e s s
"
sequel,s e q u e l,"Input: sequel Answer: s e q u e l
"
disc,d i s c,"Input: disc Answer: d i s c
"
museum,m u s e u m,"Input: museum Answer: m u s e u m
"
armor,a r m o r,"Input: armor Answer: a r m o r
"
measure,m e a s u r e,"Input: measure Answer: m e a s u r e
"
terminus,t e r m i n u s,"Input: terminus Answer: t e r m i n u s
"
department,d e p a r t m e n t,"Input: department Answer: d e p a r t m e n t
"
demand,d e m a n d,"Input: demand Answer: d e m a n d
"
spot,s p o t,"Input: spot Answer: s p o t
"
tank,t a n k,"Input: tank Answer: t a n k
"
circulation,c i r c u l a t i o n,"Input: circulation Answer: c i r c u l a t i o n
"
intelligence,i n t e l l i g e n c e,"Input: intelligence Answer: i n t e l l i g e n c e
"
possibility,p o s s i b i l i t y,"Input: possibility Answer: p o s s i b i l i t y
"
journey,j o u r n e y,"Input: journey Answer: j o u r n e y
"
freedom,f r e e d o m,"Input: freedom Answer: f r e e d o m
"
drug,d r u g,"Input: drug Answer: d r u g
"
generation,g e n e r a t i o n,"Input: generation Answer: g e n e r a t i o n
"
replacement,r e p l a c e m e n t,"Input: replacement Answer: r e p l a c e m e n t
"
downtown,d o w n t o w n,"Input: downtown Answer: d o w n t o w n
"
assistance,a s s i s t a n c e,"Input: assistance Answer: a s s i s t a n c e
"
destruction,d e s t r u c t i o n,"Input: destruction Answer: d e s t r u c t i o n
"
youth,y o u t h,"Input: youth Answer: y o u t h
"
medal,m e d a l,"Input: medal Answer: m e d a l
"
finishing,f i n i s h i n g,"Input: finishing Answer: f i n i s h i n g
"
atmosphere,a t m o s p h e r e,"Input: atmosphere Answer: a t m o s p h e r e
"
task,t a s k,"Input: task Answer: t a s k
"
block,b l o c k,"Input: block Answer: b l o c k
"
guard,g u a r d,"Input: guard Answer: g u a r d
"
theatre,t h e a t r e,"Input: theatre Answer: t h e a t r e
"
chorus,c h o r u s,"Input: chorus Answer: c h o r u s
"
hip,h i p,"Input: hip Answer: h i p
"
honor,h o n o r,"Input: honor Answer: h o n o r
"
establishment,e s t a b l i s h m e n t,"Input: establishment Answer: e s t a b l i s h m e n t
"
store,s t o r e,"Input: store Answer: s t o r e
"
completion,c o m p l e t i o n,"Input: completion Answer: c o m p l e t i o n
"
origin,o r i g i n,"Input: origin Answer: o r i g i n
"
responsibility,r e s p o n s i b i l i t y,"Input: responsibility Answer: r e s p o n s i b i l i t y
"
warning,w a r n i n g,"Input: warning Answer: w a r n i n g
"
skin,s k i n,"Input: skin Answer: s k i n
"
page,p a g e,"Input: page Answer: p a g e
"
province,p r o v i n c e,"Input: province Answer: p r o v i n c e
"
glass,g l a s s,"Input: glass Answer: g l a s s
"
path,p a t h,"Input: path Answer: p a t h
"
passage,p a s s a g e,"Input: passage Answer: p a s s a g e
"
aboard,a b o a r d,"Input: aboard Answer: a b o a r d
"
counter,c o u n t e r,"Input: counter Answer: c o u n t e r
"
breed,b r e e d,"Input: breed Answer: b r e e d
"
association,a s s o c i a t i o n,"Input: association Answer: a s s o c i a t i o n
"
cruiser,c r u i s e r,"Input: cruiser Answer: c r u i s e r
"
climate,c l i m a t e,"Input: climate Answer: c l i m a t e
"
classification,c l a s s i f i c a t i o n,"Input: classification Answer: c l a s s i f i c a t i o n
"
vehicle,v e h i c l e,"Input: vehicle Answer: v e h i c l e
"
reality,r e a l i t y,"Input: reality Answer: r e a l i t y
"
picture,p i c t u r e,"Input: picture Answer: p i c t u r e
"
memory,m e m o r y,"Input: memory Answer: m e m o r y
"
segment,s e g m e n t,"Input: segment Answer: s e g m e n t
"
bar,b a r,"Input: bar Answer: b a r
"
touchdown,t o u c h d o w n,"Input: touchdown Answer: t o u c h d o w n
"
difficulty,d i f f i c u l t y,"Input: difficulty Answer: d i f f i c u l t y
"
flow,f l o w,"Input: flow Answer: f l o w
"
basketball,b a s k e t b a l l,"Input: basketball Answer: b a s k e t b a l l
"
programme,p r o g r a m m e,"Input: programme Answer: p r o g r a m m e
"
cavalry,c a v a l r y,"Input: cavalry Answer: c a v a l r y
"
discovery,d i s c o v e r y,"Input: discovery Answer: d i s c o v e r y
"
inspiration,i n s p i r a t i o n,"Input: inspiration Answer: i n s p i r a t i o n
"
anniversary,a n n i v e r s a r y,"Input: anniversary Answer: a n n i v e r s a r y
"
funding,f u n d i n g,"Input: funding Answer: f u n d i n g
"
spoke,s p o k e,"Input: spoke Answer: s p o k e
"
praise,p r a i s e,"Input: praise Answer: p r a i s e
"
penalty,p e n a l t y,"Input: penalty Answer: p e n a l t y
"
pitch,p i t c h,"Input: pitch Answer: p i t c h
"
batting,b a t t i n g,"Input: batting Answer: b a t t i n g
"
pattern,p a t t e r n,"Input: pattern Answer: p a t t e r n
"
heat,h e a t,"Input: heat Answer: h e a t
"
commission,c o m m i s s i o n,"Input: commission Answer: c o m m i s s i o n
"
strategy,s t r a t e g y,"Input: strategy Answer: s t r a t e g y
"
documentary,d o c u m e n t a r y,"Input: documentary Answer: d o c u m e n t a r y
"
cap,c a p,"Input: cap Answer: c a p
"
architecture,a r c h i t e c t u r e,"Input: architecture Answer: a r c h i t e c t u r e
"
determine,d e t e r m i n e,"Input: determine Answer: d e t e r m i n e
"
involvement,i n v o l v e m e n t,"Input: involvement Answer: i n v o l v e m e n t
"
none,n o n e,"Input: none Answer: n o n e
"
category,c a t e g o r y,"Input: category Answer: c a t e g o r y
"
contest,c o n t e s t,"Input: contest Answer: c o n t e s t
"
plane,p l a n e,"Input: plane Answer: p l a n e
"
minister,m i n i s t e r,"Input: minister Answer: m i n i s t e r
"
adaptation,a d a p t a t i o n,"Input: adaptation Answer: a d a p t a t i o n
"
ensure,e n s u r e,"Input: ensure Answer: e n s u r e
"
champion,c h a m p i o n,"Input: champion Answer: c h a m p i o n
"
scheme,s c h e m e,"Input: scheme Answer: s c h e m e
"
library,l i b r a r y,"Input: library Answer: l i b r a r y
"
sale,s a l e,"Input: sale Answer: s a l e
"
fit,f i t,"Input: fit Answer: f i t
"
fighter,f i g h t e r,"Input: fighter Answer: f i g h t e r
"
throne,t h r o n e,"Input: throne Answer: t h r o n e
"
rival,r i v a l,"Input: rival Answer: r i v a l
"
passenger,p a s s e n g e r,"Input: passenger Answer: p a s s e n g e r
"
partner,p a r t n e r,"Input: partner Answer: p a r t n e r
"
reviewer,r e v i e w e r,"Input: reviewer Answer: r e v i e w e r
"
submarine,s u b m a r i n e,"Input: submarine Answer: s u b m a r i n e
"
absence,a b s e n c e,"Input: absence Answer: a b s e n c e
"
door,d o o r,"Input: door Answer: d o o r
"
engineer,e n g i n e e r,"Input: engineer Answer: e n g i n e e r
"
airport,a i r p o r t,"Input: airport Answer: a i r p o r t
"
interior,i n t e r i o r,"Input: interior Answer: i n t e r i o r
"
behavior,b e h a v i o r,"Input: behavior Answer: b e h a v i o r
"
attacking,a t t a c k i n g,"Input: attacking Answer: a t t a c k i n g
"
respect,r e s p e c t,"Input: respect Answer: r e s p e c t
"
